name,market_type,address,open_cycle,lat,lng,items,has_restroom,has_parking
광양5일시장,상설장,전라남도 광양시 광양읍 백운로 3,1일+6일,34.97115451,127.5904463,['농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점'],True,True
양동건어물시장,상설장,광주광역시 서구 천변좌로 254번길 6,매일,35.15316871,126.9033339,['가공식품+근린생활서비스'],True,True
여수서시장주변시장,상설장+4일장,전라남도 여수시 중앙로 3-2,4일+9일,34.74075239,127.7283238,['농산물+축산물+가공식품+의류'],True,True
화정동서부시장,상설장,광주광역시 서구 화운로156번길 24-1,매일,35.15303898,126.8792883,['농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점'],False,True
교동시장,상설장,전라남도 여수시 교동시장1길 17-6,매일,34.73896529,127.730219,['농산물+축산물+수산물+가공식품+음식점'],True,False
함평천지전통시장,상설장,전라남도 함평군 함평읍 시장길 49,2일+7일,35.06373037,126.5234259,['농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점'],True,True
비아5일시장,상설장,광주광역시 광산구 비아중앙로 26-1,1일+6일,35.22135885,126.8252669,['농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점'],True,True
송정5일시장,3일장,광주광역시 광산구 광산로30번길 65,3일+8일,35.13708297,126.7969059,['농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점'],True,True
송정매일시장,상설장,광주광역시 광산구 송정로 29번길 64,매일,35.13745243,126.7968406,['농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점'],True,True
우산매일시장,상설장,광주광역시 광산구 우산로,매일,35.16218922,126.8035258,['농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점'],True,True
무등시장,상설장,광주광역시 남구 군분로27,매일,35.13592608,126.8945422,['농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점'],True,True
대인시장,상설장,광주광역시 동구 제봉로194번길 10,매일,35.15409833,126.917243,['농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점'],True,True
산수시장,상설장,광주광역시 동구 필문대로192번길 17-1,매일,35.15348435,126.929739,['농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점+근린생활서비스'],True,False
남광주해뜨는시장,상설장,광주광역시 동구 제봉로17번길 13-6,매일,35.13896721,126.9212584,['농산물+축산물+수산물'],True,True
남광주시장,상설장,광주광역시 동구 제봉로17번길 18-6,매일,35.13929961,126.9208082,['농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점'],True,True
두암시장,상설장,광주광역시 북구 금녕길 23,매일,35.17157442,126.9293831,['농산물+축산물+수산물+가공식품'],True,True
말바우시장,상설장+4일장,광주광역시 북구 동문대로97번길 55,2일+4일+7일+9일,35.1729756,126.9213684,['농산물+축산물+수산물+음식점'],True,True
운암시장,상설장,광주광역시 북구 대자로 87,매일,35.1733763,126.8820026,['농산물+축산물+수산물+가공식품+의류+가정용품+음식점'],True,True
동부시장,상설장,광주광역시 북구 중문로9번길 39,매일,35.1738826,126.9163398,['농산물+음식점+근린생활서비스'],True,True
중흥시장,상설장,광주광역시 북구 중흥로 154,매일,35.1616112,126.9108534,['농산물+축산물+수산물+가공식품+근린생활서비스'],False,False
광주양동시장,상설장,광주광역시 서구 천변좌로 238,매일,35.15390747,126.9025538,['농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점'],True,True
양동닭전길시장,상설장,광주광역시 서구 천변좌로 262번길 4,매일,35.1528177,126.9039928,['농산물+축산물+의류+신발+가정용품+음식점+근린생활서비스'],True,True
양동복개상가,상설장,광주광역시 서구 천변좌로 243,매일,35.15359895,126.903926,['의류+신발+가정용품+음식점+근린생활서비스'],True,True
양동수산전통시장,상설장,광주광역시 서구 천변좌로 246번길 16,매일,35.15323947,126.9016656,['축산물+수산물+가공식품+음식점'],True,True
양동산업용품시장,상설장,광주광역시 서구 독립로 205,매일,35.15117026,126.9066176,['근린생활서비스'],True,True
양동경열로시장,상설장,광주광역시 서구 경열로 140-1,매일,35.15367146,126.900842,['농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점'],True,True
1913송정역시장(송정역전매일시장),상설장,광주광역시 광산구 송정로 8번길 33,매일,35.13555958,126.7915346,['농산물+축산물+수산물+가공식품+신발+음식점'],True,True
월곡시장,상설장,광주광역시 광산구 사암로 300,매일,35.17129717,126.8096437,['농산물+축산물+수산물+가공식품+음식점'],True,True
봉선시장,상설장,광주광역시 남구 봉선중앙로91번길 7,매일,35.12904439,126.9100112,['농산물+축산물+수산물+가공식품+의류+가정용품+음식점'],True,True
강진읍시장,상설장+4일장,전라남도 강진군 강진읍 동성로 17,4일+9일,34.64016086,126.7743152,['농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점'],True,True
마량시장,상설장+3일장,전라남도 강진군 마량면 마량5길 11,3일+8일,34.45095924,126.8165817,['농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점+근린생활서비스'],True,True
병영시장,상설장+3일장,전라남도 강진군 병영면 남삼인길 6,3일+8일,34.71380066,126.8155558,['농산물+수산물+가공식품+의류+신발+가정용품+음식점'],True,True
고흥전통시장,상설장+4일장,전라남도 고흥군 고흥읍 시장길 1,4일+9일,34.60835226,127.2866005,['농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점'],True,True
과역전통시장,5일장,전라남도 고흥군 과역면 시장안길 15,5일+10일,34.67945419,127.3622537,['농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점'],True,True
녹동전통시장,상설장+3일장,전라남도 고흥군 도양읍 녹동남촌1길 24,3일+8일,34.52787689,127.13833,['농산물+축산물+수산물'],True,True
도화전통시장,5일장,전라남도 고흥군 도화면 동신길 16-6,5일+10일,34.50979056,127.3218794,['농산물+수산물'],True,True
동강전통시장,상설장,전라남도 고흥군 원유둔4길 13-1,1일+6일,34.78037382,127.3349881,['농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점'],True,True
